title,number_of_videos,created_date,playlist_url,miniatures,descriptions,Details de la playlist
Biology,51,2023-05-16,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPW_ofbxdHNciuLoTRLPMgB"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/PWGBqskV1UQ/default.jpg "" width=190>","In 50 episodes, we’re going to explore biology—the science of life. Dr. Samuel Ramsey will guide you through life’s vast interconnectedness, telling lesser-known stories of biologists along the way. We’ll discover how evolution, genetics, ecology, and cell and organismal biology deepen our knowledge of every living thing: including ourselves.

This course is based on an introductory-level college and AP Biology curriculum. By the end of this course, you will be able to: 

*Understand what life is and the natural systems that make it possible.
*Describe the types of questions biologists answer and the skills they need to answer them.
*Explain how life is organized in nested systems that regulate biological activities.
*Describe how life on earth has evolved, including the forces driving that change.
*Identify ways in which all of life is interconnected and how biology impacts human society.
*Use scientific language inclusively and accurately.
*Understand the collective nature of biology through examples of innovation and discovery from a wide variety of researchers, civilizations, and cultures, including historically underrepresented scientists and stories

Biology textbooks cited include: Taylor, Simon, Dickey, Hogan and Reece (2017); Morris et al. (2019); Clark, Choi, and Douglas; Murray, Cain, Wassherman, Minorsky, & Reece (2016); and Miller and Levine (2019).

Check out our new channel, Crash Course en Español, to watch Crash Course Biología!","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPW_ofbxdHNciuLoTRLPMgB&name=Biology"">Afficher les détails</a>"
Botany,16,2023-05-12,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOhFQOVdutRTxvUI1UeCcax"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/WACSnwKby2Y/default.jpg "" width=190>","Over the course of 15 episodes, we’re going to learn about botany—the study of plants. Alexis Nikole Nelson will teach you about how plants evolved, how they function, and just how vital they are to human societies and all of life on Earth. 

This content is based on an introductory university-level curriculum. By the end of this course, you should be able to: 
*Describe the evolutionary history of plants
*List and describe fundamental anatomical and morphological characteristics of plants
*Understand what plant hormones are and how they work
*Explain what roles plants play in ecosystems and why they are important
*Understand how plant genes play an important role in the diversity of plants we see on Earth
*Understand why plants are important, and how botanical knowledge can be useful in everyday life","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOhFQOVdutRTxvUI1UeCcax&name=Botany"">Afficher les détails</a>"
"Crash Course ""Best of""",30,2022-12-13,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOJN5C_ex76lbX0uVsKDgGf"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/Yocja_N5s1I/default.jpg "" width=190>",,"<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOJN5C_ex76lbX0uVsKDgGf&name=Crash%20Course%20%22Best%20of%22"">Afficher les détails</a>"
Environmental Science,21,2022-12-02,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOikZljhKAe28AkupJXnS2u"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/tMwFNMfjFuU/default.jpg "" width=190>","This playlist features videos from several series that complement our Climate & Energy series, providing context and more in-depth information on specific topics.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOikZljhKAe28AkupJXnS2u&name=Environmental%20Science"">Afficher les détails</a>"
Climate & Energy,13,2022-11-30,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMx8ZIQV9NduU_HFjDwykuj"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/dhFlDkES6Ws/default.jpg "" width=190>","In 12 episodes, this series covers the evidence and science behind our understanding of climate change. By the end of this course, learners will be able to: 

*Understand the greenhouse effect and the role that greenhouse gas emissions play in climate change
*Identify the five major categories of greenhouse gas emissions/energy sources
*Describe existing decarbonization solutions and identify areas where future innovations are needed
*Explain the current and future impacts of climate change and how they affect different communities
*Describe the political, social, and economic forces that complicate the path to carbon neutrality","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMx8ZIQV9NduU_HFjDwykuj&name=Climate%20%26%20Energy"">Afficher les détails</a>"
Back to School - Essentials,10,2022-08-23,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOZdQm9tjnuA2OwkO74GOci"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/xOLcZMw0hd4/default.jpg "" width=190>","If you only have time for a few videos, this collection will give you a quick refresh before going back to school,","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOZdQm9tjnuA2OwkO74GOci&name=Back%20to%20School%20-%20Essentials"">Afficher les détails</a>"
Back to School - Expanded,60,2022-08-23,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/vo4pMVb0R6M/default.jpg "" width=190>","Need a quick refresh before going back to school? We've compiled videos from across our many series to help you prepare for a new school year. Chemistry, biology, physics, statistics, literature, philosophy, study skills, and more -- it's all right here!","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOVe7Q88hA-IJ1l6BkzxxDC&name=Back%20to%20School%20-%20Expanded"">Afficher les détails</a>"
Public Health,11,2022-07-21,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPjQj_LcJ0Zvj-VI3sslJyF"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/PjdJ19ugXzQ/default.jpg "" width=190>","In 10 episodes, Vanessa Hill teaches you about Public Health! By the end of this series, learners will understand:

*What is public health, and how is it different from medicine?
*Who is involved in public health? 
*What are some of the biological, environmental, and social determinants of health?
*What is epidemiology?
*What are some different kind of healthcare systems and how do they work?
*How are public policy and public health related?
*What could the future of public health look like?","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPjQj_LcJ0Zvj-VI3sslJyF&name=Public%20Health"">Afficher les détails</a>"
Office Hours,3,2022-05-10,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtP-27rLI2VIjVJ5bYHZajS1"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/-eIuQAMTI4I/default.jpg "" width=190>","Getting ready for finals season? Crash Course Office Hours will help you prepare for your Anatomy & Physiology, Geography, and World History exams!","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtP-27rLI2VIjVJ5bYHZajS1&name=Office%20Hours"">Afficher les détails</a>"
How to College,16,2022-03-15,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNxrUcgYGmPneX1PTStLDQx"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/G8csJtDwjzk/default.jpg "" width=190>","Welcome to Crash Course: How to College! This 15 episode series is part of the Study Hall Program; a partnership between Crash Course and ASU. Dr. Erica Brozovsky (from PBS's Otherwords) hosts and breaks down how to apply for, succeed at, and graduate from college.

Study Hall now has online courses that are eligible for college credit! Sign up at https://link.gostudyhall.com/my1","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNxrUcgYGmPneX1PTStLDQx&name=How%20to%20College"">Afficher les détails</a>"
Outbreak Science,16,2021-08-30,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPkACD-BkU-oM6PUotjdCEk"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/QnVjv-LIgjM/default.jpg "" width=190>","Welcome to Crash Course Outbreak Science! What do pathogens actually do to us that makes us sick? Why do societies respond to outbreaks of infectious diseases the way they do? How can we stop the next outbreak? These are the kinds of questions we'll ask ourselves and answer as best we can in this 15-episode series. Join us and Dr. Pardis Sabeti as we look at outbreaks from the microscopic level, to the big picture, so that we can work together to stop future outbreaks and create a healthier future for everyone.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPkACD-BkU-oM6PUotjdCEk&name=Outbreak%20Science"">Afficher les détails</a>"
Crash Course Black American History,52,2021-05-13,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNYJO8JWpXO2JP0ezgxsrJJ"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/xPx5aRuWCtc/default.jpg "" width=190>","Over the course of 51 episodes, we're going to learn about Black American History. Clint Smith will teach you about the experience of Black people in America, from the arrival of the first enslaved Black people who arrived at Jamestown all the way to the Black Lives Matter movement.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNYJO8JWpXO2JP0ezgxsrJJ&name=Crash%20Course%20Black%20American%20History"">Afficher les détails</a>"
Zoology,15,2021-04-15,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNRgJI4gHRLFtOD_r4hfJaF"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/ipOoEmrm4pI/default.jpg "" width=190>","In 14 episodes, Dr. Rae Wynn Grant teaches you zoology! By the end of this series, learners will be able to:
*Describe the main branches of animal life, and the traits that unite/define them
*Analyze representations of evolutionary relatedness 
*Explain the types of evidence used to discover the evolutionary relationships between animals
*Hypothesize about the selective pressures that may have led to evolution of an animal’s traits and behaviors
*Describe modern-day careers in zoology","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNRgJI4gHRLFtOD_r4hfJaF&name=Zoology"">Afficher les détails</a>"
Geography,52,2020-12-16,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtO85Sl24rSiVQ93q7vcntNF"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/Di5vJwH0VZ8/default.jpg "" width=190>","Welcome to Crash Course Geography hosted by Alizé Carrère! This 50-episode course will be split into two parts. In the first half, we will focus on physical geography or the processes and phenomena of the physical world both above and below the Earth's surface. We'll ask questions like, ""why is the seafloor so young when the Earth is so old?"" or try to identify why winds and ocean currents are so important to life on Earth. Then we'll turn our focus to human geography and explore the ways people occupy the Earth's surface. Like how we've moved, settled, and used the land, resources, and space. Join us as we tell the story of the Earth.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtO85Sl24rSiVQ93q7vcntNF&name=Geography"">Afficher les détails</a>"
Linguistics,17,2020-09-02,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtP5mp25nStsuDzk2blncJDW"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/eDop3FDoUzk/default.jpg "" width=190>","In 16 episodes, Taylor Behnke teaches you linguistics! The content is based on an introductory university-level curriculum, curated by a team of linguists: Lauren Gawne, Jessi Grieser, and Gretchen McCulloch. By the end of this course, you will be able to:

* Understand how linguists approach analyzing language, including our ethical responsibility to use our increased understanding of how language works to be more compassionate with language 
* Identify and analyze the structural features of language, across different levels, including phonetics, phonology, morphology, syntax, semantics and pragmatics
* Apply this structural approach to describe language as it is used, including its social functions, how people learn language, and how language is used in technology
* Recognize that there are thousands of spoken languages and hundreds of signed languages in the world 
* Identify the International Phonetic Alphabet and understand the system behind how the IPA chart is organized","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtP5mp25nStsuDzk2blncJDW&name=Linguistics"">Afficher les détails</a>"
Big History 2,7,2020-08-21,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPmGl0BGvoYcS8_AAnPrC4p"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/MUi2HsxDVXU/default.jpg "" width=190>","In 6 episodes, Emily Graslie continues telling you the story of “life, the universe, and everything” in Big History 2! This course challenges you to ask “why this stuff matters” and is based on the Big History Project social studies curriculum. By the end of this course, you will be able to:

•Integrate physics, math, history, and more to tell a single story about people, civilizations, and how we are connected to everything around us
•Zoom out to pose and refine scientific and historical questions
•Outline the most powerful and important breakthroughs
•Evaluate how we know what we know and why we’re sure we know it
•Relate topics in Big History to contemporary humans and describe why they matter in our daily lives","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPmGl0BGvoYcS8_AAnPrC4p&name=Big%20History%202"">Afficher les détails</a>"
Organic Chemistry,51,2020-04-21,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtONguuhLdVmq0HTKS0jksS4"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/bSMx0NS0XfY/default.jpg "" width=190>","In 50 episodes, Dr. Deboki Chakravarti will teach you organic chemistry. This course is based on sophomore-level college material, covering topics from Organic Chemistry I and II. It was developed with 9 reference texts and journal articles on specialized topics in organic chemistry, in particular: Organic Chemistry texts by Brown, Foote, Iverson and Ansyln (8th ed.); Clayden, Greeves and Warren (2nd ed.); McMurry (9th ed.) By the end of this course, you will be able to:

* Recognize and name the major functional groups in organic compounds
* Understand the influence of molecular structure and conformation on chemical properties and reactivity
* Identify the possible reactions for a given organic compound and select reasonable reaction mechanisms given the reactant structure and functional groups
* Sketch a mechanism for an organic reaction, showing valid arrow-pushing and formal charges
* Develop and compare synthetic routes to a target molecule from a starting compound
* Interpret spectra (e.g. IR, NMR, MS, UV/vis) and understand how they are used in structure determination
* Connect the chemical properties of organic compounds to their real-world applications (e.g. in polymers, medicine, and biochemistry).","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtONguuhLdVmq0HTKS0jksS4&name=Organic%20Chemistry"">Afficher les détails</a>"
Literature 4,13,2020-03-13,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPlnUoPa11EoTZbWZLsQVMs"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/3c8YoB-cyY4/default.jpg "" width=190>","In 12 episodes, John Green is back to talk about books. That’s right, more Crash Course Literature! The analyses and books chosen in this course are based on introductory college-level curriculum and the AP Literature guidelines. By the end of this course, you will be able to:

*Use characters and setting to explore a range of values, beliefs, assumptions, biases, and cultural norms
*Discuss the role of the narrator and how their perspective affects how readers experience and interpret a text
*Recognize comparisons, representations, and associations that invite readers to interpret a text
*Explain the function of significant events in a plot, as well as the contributions of structure, sequence, contrast, and conflict
*Employ different lenses and focal points to read a text multiple ways and recognize the glorious ambiguity of literature
*Question the notion of genre and place, in particular dystopias, and their impact on free will and politics","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPlnUoPa11EoTZbWZLsQVMs&name=Literature%204"">Afficher les détails</a>"
Literature 2,17,2020-03-13,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOv-sO3lOpVm54jhwWAf_jR"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/0lMlJOCNpFw/default.jpg "" width=190>","In 16 episodes, John Green discusses more literature! The analyses and books chosen in this course are based on introductory college-level curriculum and the AP Literature guidelines. By the end of this course, you will be able to:

*Use characters and setting to explore a range of values, beliefs, assumptions, biases, and cultural norms
*Discuss the role of the narrator and how their perspective affects how readers experience and interpret a text
*Recognize comparisons, representations, and associations that invite readers to interpret a text
*Explain the function of significant events in a plot, as well as the contributions of structure, sequence, contrast, and conflict
*Employ different lenses and focal points to read a text multiple ways and recognize the glorious ambiguity of literature
*Discuss how different texts explore the themes of mortal and divine justice, and the perpetual cycle of violence","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOv-sO3lOpVm54jhwWAf_jR&name=Literature%202"">Afficher les détails</a>"
Business Entrepreneurship,18,2019-08-14,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNamNKW5qlS-nKgA0on7Qze"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/YHBVjv4MYXE/default.jpg "" width=190>","In 17 episodes, Anna Akana will teach you entrepreneurship skills to help you start and run a small business. This course is based on a college-level curriculum with a variety of reference texts, including the Strategyzer Business Model Canvas. By the end of the course, you will be able to:

* Evaluate the quality of an idea and take steps to turn it into a small business
* Understand the legal basics of business entity formation, sales, costs, and other finances
* Develop a clear value proposition for your business and customer relationships
* Navigate other businesses, including both competition and key partners 
* Define success for yourself as an entrepreneur, and recognize failure","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNamNKW5qlS-nKgA0on7Qze&name=Business%20Entrepreneurship"">Afficher les détails</a>"
Artificial Intelligence,21,2019-08-04,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtO65LeD2p4_Sb5XQ51par_b"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/GvYYFloV0aA/default.jpg "" width=190>","In 20 episodes, Jabril will teach you about Artificial Intelligence and Machine Learning! This course is based on a university-level curriculum. By the end of the course, you will be able to: 

* Define, differentiate, and provide examples of Artificial Intelligence and three types of Machine Learning: supervised, unsupervised, and reinforcement
* Understand how different AI and ML approaches can be combined to create compelling applications such as natural language processing, robotics, recommender systems, and web search
* Implement several types of AI to classify images, generate text from examples, play video games, and recommend content based on past preferences
* Understand the causes of algorithmic bias and audit datasets for several of these causes
* Reason about how specific advances in AI may impact our world and your life, for better or for worse","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtO65LeD2p4_Sb5XQ51par_b&name=Artificial%20Intelligence"">Afficher les détails</a>"
European History,51,2019-03-29,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/WhtuC9dp0Hk/default.jpg "" width=190>","In 50 episodes, John Green will teach you about European History to give you an overview of Europe’s history and connection with the world from 1450 to the present. This course is based on the AP European History Course Description and college-level Introduction to Western Civilization curriculum. By the end of the course, you will be able to:
 
*Examine European events from 1450 to the present from multiple perspectives
*Explain the relative historical significance of specific historical developments in relation to a larger pattern of continuity and/or change.
*Apply historical thinking skills to topics like the Renaissance, Reformation, Exploration, Scientific and Philosophical Developments, Political Revolutions, War and Ideology.
*Analyze how changes in beliefs about the nature of the state and people’s relationship to it led to revolution and reform in Eastern and Western Europe.
*Develop arguments about the following themes in European History:
- Interaction of Europe and the World
- Commercial Developments
- Cultural and Intellectual Developments
- States and Other Institutions of Power
- Social Organization and Development
- National and European Identity
- Technological and Scientific Innovation","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMsMTfmRomkVQG8AqrAmJFX&name=European%20History"">Afficher les détails</a>"
Business Soft Skills,18,2019-03-06,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMBsfP-lP28IFvfkISqJofM"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/8UnfCkFVQ9E/default.jpg "" width=190>","In 17 episodes, Evelyn From The Internets will teach you soft skills for business and everyday life! This course is based on a college-level curriculum, with a variety of management and organizational psychology reference texts. By the end of the course, you will be able to:

* Hone communication skills you already have to stand out in the workplace
* Tackle the job search and negotiate a job offer with organization and confidence
* Use time management strategies and set achievable personal and professional goals
* Navigate complex situations involving difficult conversations, fairness, power, and trust 
* Work with a team effectively, from understanding others’ motivations to running a meeting","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMBsfP-lP28IFvfkISqJofM&name=Business%20Soft%20Skills"">Afficher les détails</a>"
